street,city,zip,state,beds,baths,sq__ft,type,price
3526 HIGH ST,SACRAMENTO,95838,CA,2,1,836,Residential,59222
51 OMAHA CT,SACRAMENTO,95823,CA,3,1,1167,Residential,68212
2796 BRANCH ST,SACRAMENTO,95815,CA,2,1,796,Residential,68880
2805 JANETTE WAY,SACRAMENTO,95815,CA,2,1,852,Residential,69307
6001 MCMAHON DR,SACRAMENTO,95824,CA,2,1,797,Residential,81900
5828 PEPPERMILL CT,SACRAMENTO,95841,CA,3,1,1122,Condo,89921
6048 OGDEN NASH WAY,SACRAMENTO,95842,CA,3,2,1104,Residential,90895
2561 19TH AVE,SACRAMENTO,95820,CA,3,1,1177,Residential,91002
11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,95670,CA,2,2,941,Condo,94905
7325 10TH ST,RIO LINDA,95673,CA,3,2,1146,Residential,98937
645 MORRISON AVE,SACRAMENTO,95838,CA,3,2,909,Residential,100309
4085 FAWN CIR,SACRAMENTO,95823,CA,3,2,1289,Residential,106250
2930 LA ROSA RD,SACRAMENTO,95815,CA,1,1,871,Residential,106852
2113 KIRK WAY,SACRAMENTO,95822,CA,3,1,1020,Residential,107502
4533 LOCH HAVEN WAY,SACRAMENTO,95842,CA,2,2,1022,Residential,108750
7340 HAMDEN PL,SACRAMENTO,95842,CA,2,2,1134,Condo,110700
6715 6TH ST,RIO LINDA,95673,CA,2,1,844,Residential,113263
6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,CA,2,1,795,Condo,116250
250 PERALTA AVE,SACRAMENTO,95833,CA,2,1,588,Residential,120000
113 LEEWILL AVE,RIO LINDA,95673,CA,3,2,1356,Residential,121630
6118 STONEHAND AVE,CITRUS HEIGHTS,95621,CA,3,2,1118,Residential,122000
4882 BANDALIN WAY,SACRAMENTO,95823,CA,4,2,1329,Residential,122682
7511 OAKVALE CT,NORTH HIGHLANDS,95660,CA,4,2,1240,Residential,123000
9 PASTURE CT,SACRAMENTO,95834,CA,3,2,1601,Residential,124100
3729 BAINBRIDGE DR,NORTH HIGHLANDS,95660,CA,3,2,901,Residential,125000
3828 BLACKFOOT WAY,ANTELOPE,95843,CA,3,2,1088,Residential,126640
4108 NORTON WAY,SACRAMENTO,95820,CA,3,1,963,Residential,127281
1469 JANRICK AVE,SACRAMENTO,95832,CA,3,2,1119,Residential,129000
9861 CULP WAY,SACRAMENTO,95827,CA,4,2,1380,Residential,131200
7825 CREEK VALLEY CIR,SACRAMENTO,95828,CA,3,2,1248,Residential,132000
5201 LAGUNA OAKS DR Unit 140,ELK GROVE,95758,CA,2,2,1039,Condo,133000
6768 MEDORA DR,NORTH HIGHLANDS,95660,CA,3,2,1152,Residential,134555
3100 EXPLORER DR,SACRAMENTO,95827,CA,3,2,1380,Residential,136500
7944 DOMINION WAY,ELVERTA,95626,CA,3,2,1116,Residential,138750
5201 LAGUNA OAKS DR Unit 162,ELK GROVE,95758,CA,2,2,1039,Condo,141000
3920 SHINING STAR DR,SACRAMENTO,95823,CA,3,2,1418,Residential,146250
5031 CORVAIR ST,NORTH HIGHLANDS,95660,CA,3,2,1082,Residential,147308
7661 NIXOS WAY,SACRAMENTO,95823,CA,4,2,1472,Residential,148750
7044 CARTHY WAY,SACRAMENTO,95828,CA,4,2,1146,Residential,149593
2442 LARKSPUR LN,SACRAMENTO,95825,CA,1,1,760,Condo,150000
4800 WESTLAKE PKWY Unit 2109,SACRAMENTO,95835,CA,2,2,1304,Condo,152000
2178 63RD AVE,SACRAMENTO,95822,CA,3,2,1207,Residential,154000
8718 ELK WAY,ELK GROVE,95624,CA,3,2,1056,Residential,156896
5708 RIDGEPOINT DR,ANTELOPE,95843,CA,2,2,1043,Residential,161250
7315 KOALA CT,NORTH HIGHLANDS,95660,CA,4,2,1587,Residential,161500
2622 ERIN DR,SACRAMENTO,95833,CA,4,1,1120,Residential,164000
8421 SUNBLAZE WAY,SACRAMENTO,95823,CA,4,2,1580,Residential,165000
7420 ALIX PKWY,SACRAMENTO,95823,CA,4,1,1955,Residential,166357
3820 NATOMA WAY,SACRAMENTO,95838,CA,4,2,1656,Residential,166357
4431 GREEN TREE DR,SACRAMENTO,95823,CA,3,2,1477,Residential,168000
9417 SARA ST,ELK GROVE,95624,CA,3,2,1188,Residential,170000
8299 HALBRITE WAY,SACRAMENTO,95828,CA,4,2,1590,Residential,173000
7223 KALLIE KAY LN,SACRAMENTO,95823,CA,3,2,1463,Residential,174250
8156 STEINBECK WAY,SACRAMENTO,95828,CA,4,2,1714,Residential,174313
7957 VALLEY GREEN DR,SACRAMENTO,95823,CA,3,2,1185,Residential,178480
1122 WILD POPPY CT,GALT,95632,CA,3,2,1406,Residential,178760
4520 BOMARK WAY,SACRAMENTO,95842,CA,4,2,1943,Multi-Family,179580
9012 KIEFER BLVD,SACRAMENTO,95826,CA,3,2,1172,Residential,181000
5332 SANDSTONE ST,CARMICHAEL,95608,CA,3,1,1152,Residential,181872
5993 SAWYER CIR,SACRAMENTO,95823,CA,4,3,1851,Residential,182587
4844 CLYDEBANK WAY,ANTELOPE,95843,CA,3,2,1215,Residential,182716
306 CAMELLIA WAY,GALT,95632,CA,3,2,1130,Residential,182750
9021 MADISON AVE,ORANGEVALE,95662,CA,4,2,1603,Residential,183200
404 6TH ST,GALT,95632,CA,3,1,1479,Residential,188741
8317 SUNNY CREEK WAY,SACRAMENTO,95823,CA,3,2,1420,Residential,189000
2617 BASS CT,SACRAMENTO,95826,CA,3,2,1280,Residential,192067
7005 TIANT WAY,ELK GROVE,95758,CA,3,2,1586,Residential,194000
7895 CABER WAY,ANTELOPE,95843,CA,3,2,1362,Residential,194818
7624 BOGEY CT,SACRAMENTO,95828,CA,4,4,2162,Multi-Family,195000
6930 HAMPTON COVE WAY,SACRAMENTO,95823,CA,3,2,1266,Residential,198000
8708 MESA BROOK WAY,ELK GROVE,95624,CA,4,2,1715,Residential,199500
120 GRANT LN,FOLSOM,95630,CA,3,2,1820,Residential,200000
5907 ELLERSLEE DR,CARMICHAEL,95608,CA,3,1,936,Residential,200000
17 SERASPI CT,SACRAMENTO,95834,CA,0,0,0,Residential,206000
170 PENHOW CIR,SACRAMENTO,95834,CA,3,2,1511,Residential,208000
8345 STAR THISTLE WAY,SACRAMENTO,95823,CA,4,2,1590,Residential,212864
9080 FRESCA WAY,ELK GROVE,95758,CA,4,2,1596,Residential,221000
391 NATALINO CIR,SACRAMENTO,95835,CA,2,2,1341,Residential,221000
8373 BLACKMAN WAY,ELK GROVE,95624,CA,5,3,2136,Residential,223058
9837 CORTE DORADO CT,ELK GROVE,95624,CA,4,2,1616,Residential,227887
5037 J PKWY,SACRAMENTO,95823,CA,3,2,1478,Residential,231477
10245 LOS PALOS DR,RANCHO CORDOVA,95670,CA,3,2,1287,Residential,234697
6613 NAVION DR,CITRUS HEIGHTS,95621,CA,4,2,1277,Residential,235000
2887 AZEVEDO DR,SACRAMENTO,95833,CA,4,2,1448,Residential,236000
9186 KINBRACE CT,SACRAMENTO,95829,CA,4,3,2235,Residential,236685
4243 MIDDLEBURY WAY,MATHER,95655,CA,3,2,2093,Residential,237800
1028 FALLON PLACE CT,RIO LINDA,95673,CA,3,2,1193,Residential,240122
4804 NORIKER DR,ELK GROVE,95757,CA,3,2,2163,Residential,242638
7713 HARVEST WOODS DR,SACRAMENTO,95828,CA,3,2,1269,Residential,244000
2866 KARITSA AVE,SACRAMENTO,95833,CA,0,0,0,Residential,244500
6913 RICHEVE WAY,SACRAMENTO,95828,CA,3,1,958,Residential,244960
8636 TEGEA WAY,ELK GROVE,95624,CA,5,3,2508,Residential,245918
5448 MAIDSTONE WAY,CITRUS HEIGHTS,95621,CA,3,2,1305,Residential,250000
18 OLLIE CT,ELK GROVE,95758,CA,4,2,1591,Residential,250000
4010 ALEX LN,CARMICHAEL,95608,CA,2,2,1326,Condo,250134
4901 MILLNER WAY,ELK GROVE,95757,CA,3,2,1843,Residential,254200
4818 BRITTNEY LEE CT,SACRAMENTO,95841,CA,4,2,1921,Residential,254200
5529 LAGUNA PARK DR,ELK GROVE,95758,CA,5,3,2790,Residential,258000
230 CANDELA CIR,SACRAMENTO,95835,CA,3,2,1541,Residential,260000
